"date","active_users"
"2025-03-28","37"
"2025-03-29","4"
"2025-03-30","2"
"2025-03-31","1"
"2025-04-01","21"
"2025-04-02","31"
"2025-04-03","22"
"2025-04-04","17"
"2025-04-07","19"
"2025-04-08","16"
"2025-04-09","24"
"2025-04-10","16"
"2025-04-11","13"
"2025-04-12","2"
"2025-04-14","11"
"2025-04-15","17"
"2025-04-16","18"
"2025-04-17","13"
"2025-04-18","12"
"2025-04-19","3"
"2025-04-21","18"
"2025-04-22","20"
"2025-04-23","8"
"2025-04-24","14"
"2025-04-25","15"
"2025-04-26","5"
"2025-04-27","5"
"2025-04-28","22"
"2025-04-29","18"
"2025-04-30","17"
"2025-05-01","2"
"2025-05-02","11"
"2025-05-03","1"
"2025-05-04","1"
"2025-05-05","15"
"2025-05-06","20"
"2025-05-07","18"
"2025-05-08","26"
"2025-05-09","16"
"2025-05-11","2"
"2025-05-12","16"
"2025-05-13","24"
"2025-05-14","26"
"2025-05-15","19"
"2025-05-16","21"
"2025-05-17","8"
"2025-05-18","3"
"2025-05-19","23"
"2025-05-20","29"
"2025-05-21","33"
"2025-05-22","22"
"2025-05-23","27"
"2025-05-24","4"
"2025-05-25","1"
"2025-05-26","25"
"2025-05-27","30"
"2025-05-28","21"
"2025-05-29","30"
"2025-05-30","23"
"2025-05-31","2"
"2025-06-01","1"
"2025-06-02","20"
"2025-06-03","23"
"2025-06-04","27"
"2025-06-05","25"
"2025-06-06","16"
"2025-06-07","2"
"2025-06-09","16"
"2025-06-10","19"
"2025-06-11","25"
"2025-06-12","19"
"2025-06-13","14"
"2025-06-14","4"
"2025-06-15","2"
"2025-06-16","24"
"2025-06-17","32"
"2025-06-18","39"
"2025-06-19","29"
"2025-06-20","28"
"2025-06-21","3"
"2025-06-23","26"
"2025-06-24","30"
"2025-06-25","38"
"2025-06-26","30"
"2025-06-27","30"
"2025-06-28","2"
"2025-06-29","2"
"2025-06-30","24"
"2025-07-01","24"
"2025-07-02","21"
"2025-07-03","18"
"2025-07-04","18"
"2025-07-05","4"
"2025-07-06","1"
"2025-07-07","21"
"2025-07-08","15"
"2025-07-09","16"
