"date","avg_prompts"
"2025-03-28","3"
"2025-03-29","5"
"2025-03-30","2"
"2025-03-31","2"
"2025-04-01","4"
"2025-04-02","4"
"2025-04-03","3"
"2025-04-04","6"
"2025-04-07","4"
"2025-04-08","4"
"2025-04-09","3"
"2025-04-10","7"
"2025-04-11","5"
"2025-04-12","7"
"2025-04-14","3"
"2025-04-15","3"
"2025-04-16","6"
"2025-04-17","5"
"2025-04-18","3"
"2025-04-19","4"
"2025-04-21","3"
"2025-04-22","5"
"2025-04-23","4"
"2025-04-24","3"
"2025-04-25","7"
"2025-04-26","3"
"2025-04-27","4"
"2025-04-28","5"
"2025-04-29","8"
"2025-04-30","5"
"2025-05-01","2"
"2025-05-02","5"
"2025-05-03","8"
"2025-05-04","2"
"2025-05-05","4"
"2025-05-06","4"
"2025-05-07","4"
"2025-05-08","5"
"2025-05-09","5"
"2025-05-11","2"
"2025-05-12","5"
"2025-05-13","5"
"2025-05-14","7"
"2025-05-15","4"
"2025-05-16","3"
"2025-05-17","10"
"2025-05-18","34"
"2025-05-19","7"
"2025-05-20","6"
"2025-05-21","4"
"2025-05-22","7"
"2025-05-23","4"
"2025-05-24","1"
"2025-05-25","1"
"2025-05-26","6"
"2025-05-27","4"
"2025-05-28","5"
"2025-05-29","4"
"2025-05-30","4"
"2025-05-31","1"
"2025-06-01","4"
"2025-06-02","5"
"2025-06-03","4"
"2025-06-04","3"
"2025-06-05","6"
"2025-06-06","6"
"2025-06-07","1"
"2025-06-09","2"
"2025-06-10","6"
"2025-06-11","4"
"2025-06-12","3"
"2025-06-13","7"
"2025-06-14","4"
"2025-06-15","11"
"2025-06-16","4"
"2025-06-17","4"
"2025-06-18","3"
"2025-06-19","3"
"2025-06-20","5"
"2025-06-21","3"
"2025-06-23","4"
"2025-06-24","3"
"2025-06-25","5"
"2025-06-26","4"
"2025-06-27","2"
"2025-06-28","2"
"2025-06-29","4"
"2025-06-30","5"
"2025-07-01","3"
"2025-07-02","6"
"2025-07-03","5"
"2025-07-04","5"
"2025-07-05","2"
"2025-07-06","1"
"2025-07-07","3"
"2025-07-08","5"
"2025-07-09","3"
